Miner ID,Total IMC,Computing Power,Blocks Mined
Miner752,14.22,243,0
Miner753,3.97,434,0
Miner754,14.12,232,0
Miner755,2.45,268,0
Miner756,4.28,468,0
Miner757,4.23,463,0
Miner758,3.26,356,0
Miner759,3.37,369,0
Miner760,2.26,247,0
Miner761,2.42,265,0
Miner762,3.00,328,0
Miner763,1.21,132,0
Miner764,2.41,263,0
Miner765,2.89,316,0
Miner766,1.96,214,0
Miner767,3.16,345,0
Miner768,1.55,170,0
Miner769,1.09,119,0
Miner770,2.65,290,0
Miner771,1.87,205,0
Miner772,2.84,311,0
Miner773,2.37,259,0
Miner774,3.53,386,0
Miner775,4.35,476,0
Miner776,14.87,314,0
Miner777,14.23,244,0
Miner778,1.05,115,0
Miner779,1.42,155,0
Miner780,2.46,269,0
Miner781,2.36,258,0
Miner782,1.17,128,0
Miner783,3.41,373,0
Miner784,14.93,320,0
Miner785,1.43,156,0
Miner786,2.49,272,0
Miner787,1.00,109,0
Miner788,2.25,246,0
Miner789,1.23,134,0
Miner790,2.43,266,0
Miner791,0.98,107,0
Miner792,1.83,200,0
Miner793,16.24,464,0
Miner794,1.26,138,0
Miner795,15.55,388,0
Miner796,2.56,280,0
Miner797,3.74,409,0
Miner798,3.02,330,0
Miner799,3.33,364,0
Miner800,1.39,152,0
Miner801,2.22,243,0
Miner802,2.30,251,0
Miner803,3.59,393,0
Miner804,13.42,155,0
Miner805,3.44,376,0
Miner806,1.25,137,0
Miner807,3.47,379,0
Miner808,15.88,424,0
Miner809,1.12,122,0
Miner810,3.30,361,0
Miner811,2.03,222,0
Miner812,1.21,132,0
Miner813,3.72,407,0
Miner814,4.03,441,0
Miner815,3.36,367,0
Miner816,1.19,130,0
Miner817,1.29,141,0
Miner818,1.01,110,0
Miner819,14.06,225,0
Miner820,3.92,429,0
Miner821,4.55,497,0
Miner822,1.49,163,0
Miner823,3.66,400,0
Miner824,1.11,121,0
Miner825,15.88,424,0
Miner826,2.54,278,0
Miner827,2.04,223,0
Miner828,2.44,267,0
Miner829,4.48,490,0
Miner830,3.89,425,0
Miner831,4.07,445,0
Miner832,1.63,178,0
Miner833,1.04,114,0
